C7,id
Healthy,1
None,2
Healthy,3
Healthy,4
Healthy,5
Healthy,6
Unhealthy,7
Healthy,8
Healthy,9
Defaulted,10
Healthy,11
Defaulted,12
Healthy,13
Defaulted,14
Defaulted,15
Defaulted,16
Healthy,17
Healthy,18
Healthy,19
Healthy,20
Healthy,21
Healthy,22
Healthy,23
Healthy,24
Healthy,25
Healthy,26
Healthy,27
Healthy,28
Healthy,29
None,30
Healthy,31
Healthy,32
Healthy,33
Healthy,34
Healthy,35
None,36
Healthy,37
Healthy,38
Healthy,39
Healthy,40
Defaulted,41
Defaulted,42
Healthy,43
Healthy,44
Healthy,45
Healthy,46
Defaulted,47
Healthy,48
Healthy,49
Healthy,50
Healthy,51
Defaulted,52
Healthy,53
Healthy,54
Healthy,55
Healthy,56
Healthy,57
Defaulted,58
Healthy,59
Healthy,60
Defaulted,61
Healthy,62
Healthy,63
Defaulted,64
Healthy,65
Healthy,66
Healthy,67
Healthy,68
Healthy,69
Healthy,70
Healthy,71
Healthy,72
Healthy,73
Defaulted,74
Healthy,75
Healthy,76
Healthy,77
Defaulted,78
Healthy,79
Healthy,80
Defaulted,81
Healthy,82
Healthy,83
Healthy,84
Healthy,85
Defaulted,86
Healthy,87
Healthy,88
Healthy,89
Defaulted,90
Healthy,91
Healthy,92
Healthy,93
Healthy,94
Defaulted,95
Healthy,96
Healthy,97
Defaulted,98
Healthy,99
Healthy,100
Healthy,101
Healthy,102
Healthy,103
Healthy,104
Healthy,105
Healthy,106
Healthy,107
Healthy,108
Defaulted,109
Healthy,110
Healthy,111
Healthy,112
Healthy,113
Healthy,114
Healthy,115
Healthy,116
Healthy,117
Healthy,118
Healthy,119
Healthy,120
Healthy,121
Healthy,122
Healthy,123
Healthy,124
Defaulted,125
Healthy,126
Healthy,127
Healthy,128
Healthy,129
Healthy,130
Healthy,131
Healthy,132
Healthy,133
Healthy,134
Healthy,135
Healthy,136
Healthy,137
Healthy,138
Healthy,139
Healthy,140
None,141
Healthy,142
Healthy,143
Healthy,144
Defaulted,145
Defaulted,146
Healthy,147
Healthy,148
Healthy,149
Healthy,150
Healthy,151
Healthy,152
Healthy,153
Healthy,154
Defaulted,155
Healthy,156
Healthy,157
Healthy,158
Healthy,159
Healthy,160
Healthy,161
Healthy,162
Defaulted,163
Healthy,164
Healthy,165
Healthy,166
Defaulted,167
Healthy,168
Healthy,169
Healthy,170
Defaulted,171
Healthy,172
Healthy,173
Defaulted,174
Healthy,175
Healthy,176
Healthy,177
Healthy,178
Healthy,179
Healthy,180
Healthy,181
Healthy,182
Healthy,183
Healthy,184
Healthy,185
Healthy,186
Healthy,187
Healthy,188
Healthy,189
Healthy,190
Healthy,191
Healthy,192
None,193
Healthy,194
Defaulted,195
Defaulted,196
Healthy,197
Healthy,198
Healthy,199
Defaulted,200
Healthy,201
Healthy,202
Healthy,203
Defaulted,204
Defaulted,205
Healthy,206
Healthy,207
Healthy,208
Healthy,209
Healthy,210
Healthy,211
Healthy,212
Healthy,213
Defaulted,214
Healthy,215
Healthy,216
Defaulted,217
Healthy,218
Defaulted,219
Healthy,220
Healthy,221
Healthy,222
Healthy,223
Healthy,224
Healthy,225
Healthy,226
Defaulted,227
Healthy,228
Healthy,229
Healthy,230
Healthy,231
Defaulted,232
Healthy,233
Healthy,234
Healthy,235
Healthy,236
Healthy,237
Healthy,238
Healthy,239
Healthy,240
Healthy,241
Healthy,242
Healthy,243
Defaulted,244
Healthy,245
Defaulted,246
Defaulted,247
Healthy,248
Healthy,249
Healthy,250
Healthy,251
Defaulted,252
Healthy,253
Healthy,254
Healthy,255
Healthy,256
Healthy,257
Healthy,258
Healthy,259
None,260
Healthy,261
Healthy,262
Healthy,263
Defaulted,264
Healthy,265
Defaulted,266
Defaulted,267
Unhealthy,268
Healthy,269
Defaulted,270
Healthy,271
Healthy,272
Healthy,273
Healthy,274
Healthy,275
Healthy,276
None,277
Healthy,278
Healthy,279
Healthy,280
Healthy,281
Healthy,282
Healthy,283
Healthy,284
Healthy,285
Healthy,286
Unhealthy,287
Healthy,288
Healthy,289
Healthy,290
Healthy,291
Healthy,292
Healthy,293
Healthy,294
Healthy,295
Healthy,296
Healthy,297
Healthy,298
Healthy,299
Healthy,300
Healthy,301
